short name,reference product,ecoinvent name,sector,direct process
"bioethanol, sugarbeet","ethanol, from sugarbeet","ethanol production, via fermentation, from sugarbeet, energy allocation",liquids,
"bioethanol, sugarbeet, CCS","ethanol, from sugarbeet","ethanol production, via fermentation, from sugarbeet, with carbon capture and storage, energy allocation",liquids,
"bioethanol, sugarcane","ethanol, from sugarcane","ethanol production, via fermentation, from sugarcane, energy allocation",liquids,
"bioethanol, sugarcane, CCS","ethanol, from sugarcane","ethanol production, via fermentation, from sugarcane, with carbon capture and storage, energy allocation",liquids,
"bioethanol, sugarcane straw","ethanol, from sugarcane straw","ethanol production, via fermentation, from sugarcane straw, energy allocation",liquids,
"bioethanol, forest residue","ethanol, from forest residue","ethanol production, via fermentation, from forest residue, energy allocation",liquids,
"bioethanol, willow","ethanol, from willow","ethanol production, via fermentation, from willow, energy allocation",liquids,
"bioethanol, forage sorghum","ethanol, from forage sorghum","ethanol production, via fermentation, from forage sorghum, energy allocation",liquids,
"bioethanol, grain sorghum","ethanol, from grain sorghum","ethanol production, via fermentation, from grain sorghum, energy allocation",liquids,
"bioethanol, wheat straw","ethanol, from wheat straw pellets","ethanol production, via fermentation, from wheat straw, energy allocation",liquids,
"bioethanol, wheat grains","ethanol, from wheat grains","ethanol production, via fermentation, from wheat grains, energy allocation",liquids,
"bioethanol, corn starch","ethanol, from corn starch","ethanol production, via fermentation, from corn starch, energy allocation",liquids,
"bioethanol, corn stover","ethanol, from corn stover","ethanol production, via fermentation, from corn stover, energy allocation",liquids,
"bioethanol, sweet sorghum","ethanol, from sweet sorghum","ethanol production, via fermentation, from sweet sorghum, energy allocation",liquids,
"biodiesel, palm oil","biodiesel, from palm oil","biodiesel production, via transesterification, from palm oil, energy allocation",liquids,
"biodiesel, rapeseed oil","biodiesel, from rapeseed oil","biodiesel production, via transesterification, from rapeseed oil, energy allocation",liquids,
"biodiesel, used cooking oil","biodiesel, from cooking oil","biodiesel production, via transesterification, from used cooking oil, energy allocation",liquids,
"biodiesel, used cooking oil, CCS","biodiesel, from cooking oil","biodiesel production, via transesterification, from used cooking oil, with carbon capture and storage, energy allocation",liquids,
