name,categories,amount,code,ecoinvent name
Butane,air::urban air close to ground,1.21475e-08,892f10da-7bf2-42b3-b171-221989661a05,"diesel production, low-sulfur, petroleum refinery operation"
Cadmium II,air::urban air close to ground,2.32558e-10,36e53653-1338-42c7-816c-f6667809e0b1,"diesel production, low-sulfur, petroleum refinery operation"
"Carbon dioxide, fossil",air::urban air close to ground,0.073255814,f9749677-9c9f-4678-ab55-c607dfdc2cb9,"diesel production, low-sulfur, petroleum refinery operation"
"Carbon monoxide, fossil",air::urban air close to ground,2.10694e-05,6edcc2df-88a3-48e1-83d8-ffc38d31c35b,"diesel production, low-sulfur, petroleum refinery operation"
Chromium III,air::urban air close to ground,1.16279e-09,7705f0e1-5b14-44f4-b330-1245b5c7fc08,"diesel production, low-sulfur, petroleum refinery operation"
Chromium VI,air::urban air close to ground,2.32558e-12,7a59e8d5-cd11-4ee7-b1ca-30979d2b0b3a,"diesel production, low-sulfur, petroleum refinery operation"
Copper ion,air::urban air close to ground,3.95349e-08,88cde01c-df69-40bb-9b14-6eac71bea5b8,"diesel production, low-sulfur, petroleum refinery operation"
Cyclohexane (for all cycloalkanes),air::urban air close to ground,7.17896e-08,2a042136-80fd-4c1c-8996-65a7985497d3,"diesel production, low-sulfur, petroleum refinery operation"
Dinitrogen monoxide,air::urban air close to ground,1.16279e-06,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,"diesel production, low-sulfur, petroleum refinery operation"
Ethane,air::urban air close to ground,3.64624e-08,9ea11aea-7cb7-4b38-b936-a42c2a4bac97,"diesel production, low-sulfur, petroleum refinery operation"
Ethylene oxide,air::urban air close to ground,1.21141e-06,4446c2d0-1bc1-422f-9b97-0867d5602dbb,"diesel production, low-sulfur, petroleum refinery operation"
Formaldehyde,air::urban air close to ground,1.32527e-06,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,"diesel production, low-sulfur, petroleum refinery operation"
Heptane,air::urban air close to ground,2.20878e-08,f4bb66f1-c78c-409f-8368-85c1205a3573,"diesel production, low-sulfur, petroleum refinery operation"
Lead II,air::urban air close to ground,1.9186e-15,6a903634-c97f-4c49-a7c0-88f0e6ac7a23,"diesel production, low-sulfur, petroleum refinery operation"
Mercury II,air::urban air close to ground,4.65116e-13,a850e6de-a007-432f-be7f-ce6e2cf1f2ae,"diesel production, low-sulfur, petroleum refinery operation"
"Methane, fossil",air::urban air close to ground,6.64471e-07,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,"diesel production, low-sulfur, petroleum refinery operation"
Methyl ethyl ketone,air::urban air close to ground,1.32527e-07,26b5c174-e20e-430a-a4b1-44de4af8b40f,"diesel production, low-sulfur, petroleum refinery operation"
"NMVOC, non-methane volatile organic compounds",air::urban air close to ground,5.85669e-06,175baa64-d985-4c5e-84ef-67cc3a1cf952,"diesel production, low-sulfur, petroleum refinery operation"
Nickel II,air::urban air close to ground,1.62791e-09,e43a270f-4f88-4789-a0b8-7aba56677743,"diesel production, low-sulfur, petroleum refinery operation"
Nitrogen oxides,air::urban air close to ground,0.00022614,d068f3e2-b033-417b-a359-ca4f25da9731,"diesel production, low-sulfur, petroleum refinery operation"
"PAH, polycyclic aromatic hydrocarbons",air::urban air close to ground,4.28837e-09,9d1efa17-070a-4602-a65f-daf5056b0647,"diesel production, low-sulfur, petroleum refinery operation"
"Particulate Matter, < 2.5 um",air::urban air close to ground,6.39294e-07,230d8a0a-517c-43fe-8357-1818dd12997a,"diesel production, low-sulfur, petroleum refinery operation"
Pentane,air::urban air close to ground,4.41756e-09,0b9698ec-8b52-4986-8f9f-ad30915aa00c,"diesel production, low-sulfur, petroleum refinery operation"
Propane,air::urban air close to ground,1.21475e-08,98c66fdb-091d-46e9-a533-686f821e8f6a,"diesel production, low-sulfur, petroleum refinery operation"
Propylene oxide,air::urban air close to ground,3.97681e-07,f276d4ca-b1ad-4575-9442-e35b5e3b618b,"diesel production, low-sulfur, petroleum refinery operation"
Selenium IV,air::urban air close to ground,2.32558e-10,a79be2ee-ac83-4328-a136-a34ba1f99089,"diesel production, low-sulfur, petroleum refinery operation"
Styrene,air::urban air close to ground,4.087e-08,d85a44cb-8407-4997-a146-581e4f35f39d,"diesel production, low-sulfur, petroleum refinery operation"
Sulfur dioxide,air::urban air close to ground,4.65116e-07,8c52f40c-69b7-4538-8923-b371523c71f5,"diesel production, low-sulfur, petroleum refinery operation"
Toluene,air::urban air close to ground,7.61971e-08,39946c56-cdf6-4a22-9ac9-1cd333b65533,"diesel production, low-sulfur, petroleum refinery operation"
Zinc II,air::urban air close to ground,2.32558e-08,748f22a9-eba4-4726-bef5-92c7442ce189,"diesel production, low-sulfur, petroleum refinery operation"
m-Xylene,air::urban air close to ground,6.7382e-08,10571d92-ea97-4ac6-adb6-b25893a631cb,"diesel production, low-sulfur, petroleum refinery operation"
o-Xylene,air::urban air close to ground,2.98211e-08,5a6eb27d-9157-46d5-be32-92bbd543ada9,"diesel production, low-sulfur, petroleum refinery operation"
Ammonia,air::non-urban air or from high stacks,1.03e-05,0f440cc0-0f74-446d-99d6-8ff0e97a2444,"heavy fuel oil production, petroleum refinery operation"
Arsenic ion,air::non-urban air or from high stacks,9.64e-09,7348af7c-e102-4a03-a0df-efce16469eed,"heavy fuel oil production, petroleum refinery operation"
Cadmium II,air::non-urban air or from high stacks,6.27e-10,e2d58f90-9aac-4ac4-87f7-bbd6cfc358e3,"heavy fuel oil production, petroleum refinery operation"
"Carbon dioxide, fossil",air::non-urban air or from high stacks,0.079939099,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,"heavy fuel oil production, petroleum refinery operation"
"Carbon monoxide, fossil",air::non-urban air or from high stacks,6.87e-05,099b36ab-4c03-4587-87f4-2f81e337afb8,"heavy fuel oil production, petroleum refinery operation"
Chromium III,air::non-urban air or from high stacks,4e-09,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,"heavy fuel oil production, petroleum refinery operation"
Copper ion,air::non-urban air or from high stacks,9.64e-09,e336eee7-148a-4d1c-8027-780cbfafa12b,"heavy fuel oil production, petroleum refinery operation"
Dinitrogen monoxide,air::non-urban air or from high stacks,4.08e-06,afd6d670-bbb0-4625-9730-04088a5b035e,"heavy fuel oil production, petroleum refinery operation"
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",air::non-urban air or from high stacks,2.56e-14,f77c5e36-ee47-4437-b757-03139bb1d6d6,"heavy fuel oil production, petroleum refinery operation"
Hydrochloric acid,air::non-urban air or from high stacks,1.5e-06,68e32537-beae-41c2-be72-74df4d273c11,"heavy fuel oil production, petroleum refinery operation"
Hydrogen fluoride,air::non-urban air or from high stacks,1.5e-07,8b7dc667-f04e-492c-a161-80b1482126b0,"heavy fuel oil production, petroleum refinery operation"
Lead II,air::non-urban air or from high stacks,4.42e-09,2718482b-8399-442e-b89a-52fbcc22d2e6,"heavy fuel oil production, petroleum refinery operation"
Mercury II,air::non-urban air or from high stacks,7.24e-10,5ec9c16a-959d-44cd-be7d-a935727d2151,"heavy fuel oil production, petroleum refinery operation"
"Methane, fossil",air::non-urban air or from high stacks,1.39e-06,70ef743b-3ed5-4a6d-b192-fb6d62378555,"heavy fuel oil production, petroleum refinery operation"
"NMVOC, non-methane volatile organic compounds",air::non-urban air or from high stacks,6.94e-05,33b38ccb-593b-4b11-b965-10d747ba3556,"heavy fuel oil production, petroleum refinery operation"
Nickel II,air::non-urban air or from high stacks,5.58e-07,e8fc62ba-678e-4706-97d2-b79d83e227d5,"heavy fuel oil production, petroleum refinery operation"
Nitrogen oxides,air::non-urban air or from high stacks,0.001912883,77357947-ccc5-438e-9996-95e65e1e1bce,"heavy fuel oil production, petroleum refinery operation"
"PAH, polycyclic aromatic hydrocarbons",air::non-urban air or from high stacks,5.13e-08,13d898ac-b9be-4723-a153-565e2a9144ac,"heavy fuel oil production, petroleum refinery operation"
