First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
Greenstone, M.§2012§Paying Too Much for Energy? The True Costs of Our Energy Choices§Biomass Power§USA§1.550 §US¢/kWh§10.1162/DAED_a_00143
Hall, D.C.§1990§Preliminary estimates of cumulative private and external costs of energy§Nuclear§USA§4.137 §US¢/kWh§10.1111/j.1465-7287.1990.tb00658.x
Karimzadegan, H.§2015§Social cost of fossil-based electricity generation plants in Iran§Gas§IRN§12.007 §US¢/kWh§10.30638/eemj.2015.253
El-Kordy, M.N.§2002§Economical evaluation of electricity generation considering externalities§Oil§EGY§5.718 §US¢/kWh§10.1016/S0960-1481(01)00054-4
El-Kordy, M.N.§2002§Economical evaluation of electricity generation considering externalities§Gas§EGY§2.126 §US¢/kWh§10.1016/S0960-1481(01)00054-4
El-Kordy, M.N.§2002§Economical evaluation of electricity generation considering externalities§PV§EGY§0.328 §US¢/kWh§10.1016/S0960-1481(01)00054-4
El-Kordy, M.N.§2002§Economical evaluation of electricity generation considering externalities§Wind§EGY§0.087 §US¢/kWh§10.1016/S0960-1481(01)00054-4
Levy, J.I.§2009§Uncertainty and Variability in Health-Related Damages from Coal-Fired Power Plants in the United States§Coal§USA§114.906 §US¢/kWh§10.1111/j.1539-6924.2009.01227.x
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Coal§CZE§10.359 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Gas§CZE§2.084 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Coal§SVK§8.351 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Coal§HUN§8.838 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Gas§HUN§2.981 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Oil§HUN§6.586 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Coal§POL§11.789 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Oil§EST§10.085 §US¢/kWh§10.1177/1070496512442504
Máca, V.§2012§Internalization of External Costs of Energy Generation in Central and Eastern European Countries§Coal§BGR§10.876 §US¢/kWh§10.1177/1070496512442504
Sáez, R.M.§1998§Assessment of the externalities of biomass energy, and a comparison of its full costs with coal§Biomass Power§ESP§-11.672 §US¢/kWh§10.1016/S0961-9534(98)00016-6
Mahlangu, N.§2018§Life cycle analysis of external costs of a parabolic trough Concentrated Solar Power plant§Solar Thermal§ZAF§0.088 §US¢/kWh§10.1016/j.jclepro.2018.05.187
Mirasgedis, S.§2014§Valuing the visual impact of wind farms: An application in South Evia, Greece§Wind§GRC§0.424 §US¢/kWh§10.1016/j.rser.2014.07.100
Munksgaard, J.§1997§Socio-economic assessment of wind power-lessons from Denmark§Wind§DNK§0.010 §US¢/kWh§10.1016/S0301-4215(97)00009-8
Nguyen, K.Q.§2008§Internalizing externalities into capacity expansion planning: The case of electricity in Vietnam§Biomass Power§VNM§0.007 §US¢/kWh§10.1016/j.energy.2008.01.014
Nguyen, K.Q.§2008§Internalizing externalities into capacity expansion planning: The case of electricity in Vietnam§Hydro§VNM§0.013 §US¢/kWh§10.1016/j.energy.2008.01.014
Nguyen, K.Q.§2008§Internalizing externalities into capacity expansion planning: The case of electricity in Vietnam§Geothermal§VNM§0.071 §US¢/kWh§10.1016/j.energy.2008.01.014
Nguyen, K.Q.§2008§Internalizing externalities into capacity expansion planning: The case of electricity in Vietnam§PV§VNM§0.085 §US¢/kWh§10.1016/j.energy.2008.01.014
Nguyen, K.Q.§2008§Internalizing externalities into capacity expansion planning: The case of electricity in Vietnam§Wind§VNM§0.007 §US¢/kWh§10.1016/j.energy.2008.01.014
Rabl, A.§2013§External costs of nuclear: Greater or less than the alternatives?§Nuclear§Multi§0.285 §US¢/kWh§10.1016/j.enpol.2013.02.028
Riekert, J.W.§2012§Projecting the external health costs of a coal-fired power plant: The case of Kusile§Coal§ZAF§3.612 §US¢/kWh§10.17159/2413-3051/2012/v23i4a3178
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Coal§USA§14.656 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Oil§USA§18.587 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Gas§USA§12.119 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Waste Incineration§USA§7.819 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Fuel Cell§USA§7.053 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Wind§USA§3.079 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§PV§USA§1.431 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Solar Thermal§USA§7.964 §US¢/kWh§10.1016/j.energy.2004.03.016
Roth, I.F.§2004§Incorporating externalities into a full cost approach to electric power generation life-cycle costing§Biomass Power§USA§1.879 §US¢/kWh§10.1016/j.energy.2004.03.016
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Coal§USA§31.881 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Gas§USA§4.525 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Oil§USA§27.217 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Nuclear§USA§3.771 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Biomass Power§USA§68.533 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Rowe, R.D.§1996§Critical factors in computing externalities for electricity resources§Wind§USA§0.164 §US¢/kWh§10.1016/S0928-7655(97)84219-4
Sakulniyomporn, S.§2011§External costs of fossil electricity generation: Health-based assessment in Thailand§Coal§THA§1.467 §US¢/kWh§10.1016/j.rser.2011.05.004
Sakulniyomporn, S.§2011§External costs of fossil electricity generation: Health-based assessment in Thailand§Oil§THA§1.186 §US¢/kWh§10.1016/j.rser.2011.05.004
Sakulniyomporn, S.§2011§External costs of fossil electricity generation: Health-based assessment in Thailand§Gas§THA§0.067 §US¢/kWh§10.1016/j.rser.2011.05.004
Sovacool, B.K.§2016§Valuing the manufacturing externalities of wind energy: assessing the environmental profit and loss of wind turbines in Northern Europe§Wind§DNK§373,892.226 §US¢/kW§10.1002/we.1941
Spalding-Fecher, R.§2003§Electricity and externalities in South Africa§Coal§ZAF§0.684 §US¢/kWh§10.1016/S0301-4215(02)00123-4
Streimikiene, D.§2009§External cost of electricity generation in Baltic States§Nuclear§LTU§0.002 §US¢/kWh§10.1016/j.rser.2008.02.004
Streimikiene, D.§2009§External cost of electricity generation in Baltic States§Oil§EST§20.413 §US¢/kWh§10.1016/j.rser.2008.02.004
Streimikiene, D.§2009§External cost of electricity generation in Baltic States§Gas§EST§1.570 §US¢/kWh§10.1016/j.rser.2008.02.004
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Nuclear§LTU§0.899 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Oil§LTU§6.138 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Coal§LTU§7.865 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Gas§LTU§4.818 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Hydro§LTU§0.230 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Wind§LTU§0.220 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§PV§LTU§1.285 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Solar Thermal§LTU§0.195 §US¢/kWh§10.1016/j.renene.2013.11.012
Streimikiene, D.§2014§External costs of electricity generation options in Lithuania§Fuel Cell§LTU§3.554 §US¢/kWh§10.1016/j.renene.2013.11.012
Tajziehchi, S.§2014§Development of new model for computation of external costs of hydropower dams§Hydro§IRN§18.835 §US¢/kWh§https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2492646
Thanh, B.D.§2000§Assessing health impacts of air pollution from electricity generation: the case of Thailand§Coal§THA§7.772 §US¢/kWh§10.1016/S0195-9255(99)00041-4
Thanh, B.D.§2000§Assessing health impacts of air pollution from electricity generation: the case of Thailand§Gas§THA§1.720 §US¢/kWh§10.1016/S0195-9255(99)00041-4
Thanh, B.D.§2000§Assessing health impacts of air pollution from electricity generation: the case of Thailand§Oil§THA§3.379 §US¢/kWh§10.1016/S0195-9255(99)00041-4
Thopil, G.A.§2015§Aggregation and internalisation of electricity externalities in South Africa§Coal§ZAF§3.501 §US¢/kWh§10.1016/j.energy.2015.01.059
Thopil, G.A.§2015§Aggregation and internalisation of electricity externalities in South Africa§Nuclear§ZAF§0.032 §US¢/kWh§10.1016/j.energy.2015.01.059
Turtós Carbonell, L.§2007§Assessment of the impacts on health due to the emissions of Cuban power plants that use fossil fuel oils with high content of sulfur. Estimation of external costs§Oil§CUB§1.411 §US¢/kWh§10.1016/j.atmosenv.2006.10.062
Wang, L.§2015§Monetization of External Costs Using Lifecycle Analysis—A Comparative Case Study of Coal-Fired and Biomass Power Plants in Northeast China§Coal§CHN§8.100 §US¢/kWh§10.3390/en8021440
Wang, L.§2015§Monetization of External Costs Using Lifecycle Analysis—A Comparative Case Study of Coal-Fired and Biomass Power Plants in Northeast China§Biomass Power§CHN§0.013 §US¢/kWh§10.3390/en8021440
Wijaya, M.E.§2010§The hidden costs of fossil power generation in Indonesia: A reduction approach through low carbon society§Coal§IDN§22.879 §US¢/kWh§http://rdo.psu.ac.th/sjstweb/journal/32-1/0125-3395-32-1-81-89-1.pdf
Wijaya, M.E.§2010§The hidden costs of fossil power generation in Indonesia: A reduction approach through low carbon society§Oil§IDN§18.877 §US¢/kWh§http://rdo.psu.ac.th/sjstweb/journal/32-1/0125-3395-32-1-81-89-1.pdf
Wijaya, M.E.§2010§The hidden costs of fossil power generation in Indonesia: A reduction approach through low carbon society§Gas§IDN§4.893 §US¢/kWh§http://rdo.psu.ac.th/sjstweb/journal/32-1/0125-3395-32-1-81-89-1.pdf
Álvarez-Farizo, B.§2002§Using conjoint analysis to quantify public preferences over the environmental impacts of wind farms. An example from Spain§Wind§ESP§12,219.956 §US¢/year§10.1016/S0301-4215(01)00063-5
Han, S.-Y.§2008§Valuing environmental impacts of large dam construction in Korea: An application of choice experiments§Hydro§KOR§288.717 §US¢/month-household§10.1016/j.eiar.2007.07.001
Hynes, S.§2006§Preservation versus development on Irish rivers: whitewater kayaking and hydro-power in Ireland§Hydro§IRL§12,570.135 §US¢/trip§10.1016/j.landusepol.2004.08.013
Kataria, M.§2009§Willingness to pay for environmental improvements in hydropower regulated rivers§Hydro§SWE§26,576.952 §US¢/year§10.1016/j.eneco.2008.07.005
Ladenburg, J.§2007§Willingness to pay for reduced visual disamenities from offshore wind farms in Denmark§Wind§DNK§15,196.477 §US¢/year-household§10.1016/j.eneco.2008.07.005
Landry, C.E.§2012§Wind turbines and coastal recreation demand§Wind§USA§1,975.196 §US¢/year§10.1016/j.reseneeco.2011.10.001
Loomis, J.B.§1996§Measuring the economic benefits of removing dams and restoring the Elwha River: Results of a contingent valuation survey§Hydro§USA§10,349.626 §US¢/household§10.1029/95WR03243
McCartney, A.§2006§The Social Value of Seascapes in the Jurien Bay Marine Park: An Assessment of Positive and Negative Preferences for Change§Wind§AUS§4,797.198 §US¢/household§10.1111/j.1477-9552.2006.00074.x
Ponce, R.D.§2011§Estimating the Economic Value of Landscape Losses Due to Flooding by Hydropower Plants in the Chilean Patagonia§Hydro§CHL§1,147.323 §US¢/month-household§10.1007/s11269-011-9820-3
Vecchiato, D.§2014§How do you like wind farms? Understanding people’s preferences about new energy landscapes with choice experiments§Wind§ITA§12,198.396 §US¢/year-household§10.13128/Aestimum-14707
Dröes, M.I.§2016§Renewable energy and negative externalities: The effect of wind turbines on house prices§Wind§NLD§49.813 §US¢/kW§10.1016/j.jue.2016.09.001
Gibbons, S.§2015§Gone with the wind: Valuing the visual impacts of wind turbines through house prices§Wind§GBR§58,245.992 §US¢/year-household§10.1016/j.jeem.2015.04.006
Heintzelman, M.D.§2012§Values in the Wind: A Hedonic Analysis of Wind Power Facilities§Wind§USA§1,746,682.091 §US¢/household§10.3368/le.88.3.571
Jaramillo, P.§2016§Air pollution emissions and damages from energy production in the U.S.: 2002–2011§All power generation§USA§5.175 §US¢/kWh§10.1016/j.enpol.2015.12.035
van Horen, C.R.§1996§The cost of power: externalities in South Africa's energy sector§Coal and Nuclear§ZAF§0.818 §US¢/kWh§https://open.uct.ac.za/handle/11427/21698
Navrud, S.§2001§Environmental costs of hydro compared with other energy options§Hydro§NOR§0.471 §US¢/kWh§https://www.researchgate.net/profile/Stale_Navrud/publication/292876212_Environmental_costs_of_hydro_compared_with_other_energy_options/links/58a2b500aca272046ab0e5ac/Environmental-costs-of-hydro-compared-with-other-energy-options.pdf
Meyerhoff, J.§2010§Landscape externalities from onshore wind power§Wind§DEU§1,641.685 §US¢/month§10.1016/j.enpol.2009.08.055
Hirschberg, S.§2004§Health and environmental impacts of China’s current and future electricity supply, with associated external costs§Coal§CHN§14.516 §US¢/kWh§10.1504/IJGEI.2004.005906
Alves, L.A.§2010§Environmental degradation costs in electricity generation: The case of the Brazilian electrical matrix§Biomass Power§BRA§104.112 §US¢/kWh§10.1016/j.enpol.2010.06.006
Alves, L.A.§2010§Environmental degradation costs in electricity generation: The case of the Brazilian electrical matrix§Coal§BRA§157.885 §US¢/kWh§10.1016/j.enpol.2010.06.006
Bergmann, A.§2008§Rural versus urban preferences for renewable energy developments§Wind§GBR§6,959.484 §US¢/year-household§10.1016/j.ecolecon.2007.08.011
Bergmann, A.§2006§Rural versus urban preferences for renewable energy developments§Wind§GBR§2,525.760 §US¢/year-household§10.1016/j.ecolecon.2007.08.011
Bergmann, A.§2006§Rural versus urban preferences for renewable energy developments§Wind§GBR§5,874.521 §US¢/year-household§10.1016/j.ecolecon.2007.08.011
Bergmann, A.§2006§Rural versus urban preferences for renewable energy developments§Biomass Power§GBR§3,960.008 §US¢/year-household§10.1016/j.ecolecon.2007.08.011
Carlsen, A.J.§1993§Implicit Environmental Costs in Hydroelectric Development§Hydro§NOR§21.216 §US¢/kWh§10.1006/jeem.1993.1043
Cicia, G.§2012§Fossil energy versus nuclear, wind, solar and agricultural biomass: Insights from an Italian national survey§Wind§ITA§7,797.593 §US¢/year-household§10.1016/j.enpol.2011.11.030
Cicia, G.§2012§Fossil energy versus nuclear, wind, solar and agricultural biomass: Insights from an Italian national survey§Solar Thermal§ITA§7,923.491 §US¢/year-household§10.1016/j.enpol.2011.11.030
Cicia, G.§2012§Fossil energy versus nuclear, wind, solar and agricultural biomass: Insights from an Italian national survey§Biomass Power§ITA§-5,428.132 §US¢/year-household§10.1016/j.enpol.2011.11.030
Cicia, G.§2012§Fossil energy versus nuclear, wind, solar and agricultural biomass: Insights from an Italian national survey§Nuclear§ITA§-12,444.513 §US¢/year-household§10.1016/j.enpol.2011.11.030
Istrate, Ioan-Robert§2019§Long-term opportunities for electricity production through municipal solid waste incineration when internalising external costs§Waste Incineration§ESP§8.556 §US¢/kWh§10.1016/j.jclepro.2019.01.137
Kipperberg, G.§2019§The impact of wind turbines on local recreation: Evidence from two travel cost method – contingent behavior studies§Wind§NOR§106.991 §US¢/trip§10.1016/j.jort.2018.11.004
Wang, C.§2019§Assessing the environmental externalities for biomass- and coal-fired electricity generation in China: A supply chain perspective§Coal§CHN§2.876 §US¢/kWh§10.1016/j.jenvman.2019.06.047
Wang, C.§2019§Assessing the environmental externalities for biomass- and coal-fired electricity generation in China: A supply chain perspective§Biomass Power§CHN§1.015 §US¢/kWh§10.1016/j.jenvman.2019.06.047
Sunak, Y.§2016§The impact of wind farm visibility on property values: A spatial difference-in-differences analysis§Wind§DEU§11.500 §%/properties§10.1016/j.eneco.2015.12.025
Westerberg, V.§2013§The case for offshore wind farms, artificial reefs and sustainable tourism in the French mediterranean§Wind§FRA§-8,046.607 §US¢/week-tourist§10.1016/j.tourman.2012.04.008
Vazquez, A.§2015§Public perceptions and externalities in tidal stream energy: A valuation for policy making§Tidal§ESP§52,990.646 §US¢/year-household§10.1016/j.ocecoaman.2014.12.017
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Nuclear§EU27§0.336 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Oil§EU27§3.764 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Oil§EU27§3.871 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§4.923 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§4.234 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§4.662 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§3.736 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§EU27§2.188 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§EU27§3.273 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§EU27§0.097 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§EU27§0.069 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§EU27§0.062 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§EU27§0.120 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§EU27§0.099 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Wind§EU27§0.161 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Wind§EU27§0.147 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§PV§EU27§1.373 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§PV§EU27§1.394 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Solar Thermal§EU27§0.189 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§EU27§2.002 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§4.337 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§EU27§2.186 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§EU27§4.699 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Biomass Power§EU27§3.168 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Biomass Power§EU27§1.026 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Fuel Cell§EU27§3.133 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Fuel Cell§EU27§1.470 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
Fondazione Eni Enrico Mattei§2008§Development of a set of full cost estimates of the use of different energy sources and its comparative assessment in EU countries (Cost Assessment of Sustainable Energy Systems, CASES)§Fuel Cell§EU27§5.227 §US¢/kWh§http://www.feem-project.net/cases/downloads_presentation.php
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§BRA§1.884 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Hydro§BRA§0.135 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§CHN§3.988 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§CHN§1.445 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§IND§9.390 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§TUR§5.260 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§BGR§7.835 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§BGR§15.545 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§BGR§23.082 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Coal§BGR§23.240 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
National Laboratory for Sustainable Energy (RISOE DTU)§2008§Cross-country Comparison of the Case Studies under WP7 (Cost Assessment of Sustainable Energy Systems, CASES)§Gas§BGR§6.375 §US¢/kWh§http://www.feem-project.net/cases/documents/deliverables/D_07_2%20energy%20costs%20nonEU.pdf
