First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Gas§ESP§1.800 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Oil§ESP§5.128 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Oil§ESP§3.399 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Nuclear§ESP§0.370 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Nuclear§ESP§0.026 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Nuclear§ESP§0.379 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Nuclear§ESP§0.026 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Hydro§ESP§0.059 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Hydro§ESP§0.019 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Hydro§ESP§0.046 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Hydro§ESP§0.013 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Wind§ESP§0.294 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Wind§ESP§0.039 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§PV§ESP§0.475 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§PV§ESP§0.164 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Biomass Power§ESP§0.647 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Biomass Power§ESP§0.330 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Biogas Power§ESP§0.625 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
García-Gusano, D.§2018§Life-cycle consequences of internalising socio-environmental externalities of power generation§Biogas Power§ESP§0.377 §US¢/kWh§10.1016/j.scitotenv.2017.08.231
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Coal§GBR§0.332 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Coal§DEU§0.748 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Coal§DEU§0.641 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Oil§DEU§0.665 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Oil§DEU§0.606 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Maddison, D.§1999§The plausibility of the ExternE estimates of the external effects of electricity production§Gas§GBR§0.107 §US¢/kWh§https://doi.org/10.1007/s11356-020-07625-7
Hohmeyer, O.§1992§The social costs of electricity - Renewables versus fossil and nuclear energy§Fossil Fuels§DEU§10.878 §US¢/kWh§10.1080/01425919208909743
Hohmeyer, O.§1992§The social costs of electricity - Renewables versus fossil and nuclear energy§Nuclear§DEU§54.048 §US¢/kWh§10.1080/01425919208909743
Hohmeyer, O.§1992§The social costs of electricity - Renewables versus fossil and nuclear energy§Wind§DEU§0.344 §US¢/kWh§10.1080/01425919208909743
Hohmeyer, O.§1992§The social costs of electricity - Renewables versus fossil and nuclear energy§PV§DEU§1.254 §US¢/kWh§10.1080/01425919208909743
Parfomak, P.W.§1997§Falling generation costs, environmental externalities and the economics of electricity conservation§Coal§USA§29.886 §US¢/kWh§10.1016/S0301-4215(97)00075-X
