source name,impact category,estimate,LCIA method,valuation approach,MVC,currency,reference year,impact unit
"Environmental prices, 2023, Netherlands",eutrophication: marine,central,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,1.425e+01,Euro,2021,kg N eq
"Environmental prices, 2023, Netherlands",eutrophication: marine,max,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,2.760e+01,Euro,2021,kg N eq
"Environmental prices, 2023, Netherlands",ecotoxicity: terrestrial,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,6.7e-04,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: terrestrial,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,9.5e-04,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: terrestrial,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,1.23e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: freshwater,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,2.18e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,3.09e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: freshwater,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,4.00e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: marine,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,3.3e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: marine,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,4.7e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",ecotoxicity: marine,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,6.0e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: carcinogenic,min,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,3.55,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: carcinogenic,central,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,5.25,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: carcinogenic,max,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,7.91,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: non-carcinogenic,min,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,6.6e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: non-carcinogenic,central,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,9.7e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",human toxicity: non-carcinogenic,max,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,1.46e-01,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, Netherlands",land use,min,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,1.03e-01,Euro,2021,m2*year crop eq
"Environmental prices, 2023, Netherlands",land use,central,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,1.46e-01,Euro,2021,m2*year crop eq
"Environmental prices, 2023, Netherlands",land use,max,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,1.89e-01,Euro,2021,m2*year crop eq
"Environmental prices, 2023, Netherlands",metal/mineral resources,min,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,0.0,Euro,2021,kg Cu eq
"Environmental prices, 2023, Netherlands",metal/mineral resources,central,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,1.40e-02,Euro,2021,kg Cu eq
"Environmental prices, 2023, Netherlands",metal/mineral resources,max,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,8.26e-02,Euro,2021,kg Cu eq
"Environmental prices, 2023, Netherlands",fossil resources,min,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,0.0,Euro,2021,kg oil eq
"Environmental prices, 2023, Netherlands",fossil resources,central,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,2.8e-02,Euro,2021,kg oil eq
"Environmental prices, 2023, Netherlands",fossil resources,max,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,1.63e-01,Euro,2021,kg oil eq
"Environmental prices, 2023, Netherlands",water use,min,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,0.0,Euro,2021,m3
"Environmental prices, 2023, Netherlands",water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,1.37e-01,Euro,2021,m3
"Environmental prices, 2023, Netherlands",water use,max,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,1.81e-01,Euro,2021,m3
"Environmental prices, 2023, EU27",climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,5e-02,Euro,2021,kg CO2 eq
"Environmental prices, 2023, EU27",climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,1.3e-01,Euro,2021,kg CO2 eq
"Environmental prices, 2023, EU27",climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,1.6e-01,Euro,2021,kg CO2 eq
"Environmental prices, 2023, EU27",ozone depletion,min,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,1.52e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, EU27",ozone depletion,central,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,2.91e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, EU27",ozone depletion,max,"ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)",damage cost,6.96e+01,Euro,2021,kg CFC-11 eq
"Environmental prices, 2023, EU27",ionizing radiation,min,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,2.75e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, EU27",ionizing radiation,central,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,4.22e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, EU27",ionizing radiation,max,"ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)",damage cost,5.94e-03,Euro,2021,kg Co-60 eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: human health,min,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",damage cost,1.38,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: human health,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",damage cost,2.17,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: human health,max,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)",damage cost,2.98,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: terrestrial ecosystems,min,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",damage cost,4.16e-01,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: terrestrial ecosystems,central,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",damage cost,4.16e-01,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",photochemical oxidant formation: terrestrial ecosystems,max,"ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)",damage cost,5.26e-01,Euro,2021,kg NOx eq
"Environmental prices, 2023, EU27",particulate matter formation,min,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,6.17e+01,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, EU27",particulate matter formation,central,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,9.92e+01,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, EU27",particulate matter formation,max,"ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)",damage cost,1.381e+02,Euro,2021,kg PM2.5 eq
"Environmental prices, 2023, EU27",acidification,min,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,2.66,Euro,2021,kg SO2 eq
"Environmental prices, 2023, EU27",acidification,central,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,5.27,Euro,2021,kg SO2 eq
"Environmental prices, 2023, EU27",acidification,max,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)",damage cost,9.30,Euro,2021,kg SO2 eq
"Environmental prices, 2023, EU27",eutrophication: freshwater,min,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,2.56,Euro,2021,kg P eq
"Environmental prices, 2023, EU27",eutrophication: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,3.74,Euro,2021,kg P eq
"Environmental prices, 2023, EU27",eutrophication: freshwater,max,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)",damage cost,1.013e+01,Euro,2021,kg P eq
"Environmental prices, 2023, EU27",eutrophication: marine,min,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,7.64,Euro,2021,kg N eq
"Environmental prices, 2023, EU27",eutrophication: marine,central,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,1.425e+01,Euro,2021,kg N eq
"Environmental prices, 2023, EU27",eutrophication: marine,max,"ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)",abatement cost,2.760e+01,Euro,2021,kg N eq
"Environmental prices, 2023, EU27",ecotoxicity: terrestrial,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,4.5e-04,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: terrestrial,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,6.4e-04,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: terrestrial,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)",damage cost,8.3e-04,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: freshwater,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,1.48e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: freshwater,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,2.09e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: freshwater,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)",damage cost,2.71e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: marine,min,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,2.2e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: marine,central,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,3.2e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",ecotoxicity: marine,max,"ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)",damage cost,4.1e-03,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: carcinogenic,min,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,2.7,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: carcinogenic,central,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,3.99,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: carcinogenic,max,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)",damage cost,6.01,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: non-carcinogenic,min,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,4.8e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: non-carcinogenic,central,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,7.1e-02,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",human toxicity: non-carcinogenic,max,"ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)",damage cost,1.06e-01,Euro,2021,kg 1-4 DB eq
"Environmental prices, 2023, EU27",land use,min,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,7.0e-02,Euro,2021,m2*year crop eq
"Environmental prices, 2023, EU27",land use,central,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,9.9e-02,Euro,2021,m2*year crop eq
"Environmental prices, 2023, EU27",land use,max,"ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)",damage cost,1.28e-01,Euro,2021,m2*year crop eq
"Environmental prices, 2023, EU27",metal/mineral resources,min,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,0.0,Euro,2021,kg Cu eq
"Environmental prices, 2023, EU27",metal/mineral resources,central,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,1.40e-02,Euro,2021,kg Cu eq
"Environmental prices, 2023, EU27",metal/mineral resources,max,"ReCiPe 2016 v1.03, midpoint (H), material resources: metals/minerals, surplus ore potential (SOP)",,8.26e-02,Euro,2021,kg Cu eq
"Environmental prices, 2023, EU27",fossil resources,min,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,0.0,Euro,2021,kg oil eq
"Environmental prices, 2023, EU27",fossil resources,central,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,2.8e-02,Euro,2021,kg oil eq
"Environmental prices, 2023, EU27",fossil resources,max,"ReCiPe 2016 v1.03, midpoint (H), energy resources: non-renewable, fossil, fossil fuel potential (FFP)",,1.63e-01,Euro,2021,kg oil eq
"Environmental prices, 2023, EU27",water use,min,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,0.0,Euro,2021,m3
"Environmental prices, 2023, EU27",water use,central,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,4.07e-01,Euro,2021,m3
"Environmental prices, 2023, EU27",water use,max,"ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)",,8.11e-01,Euro,2021,m3
Trinomics,climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,6.15e-02,Euro,2018,kg CO2 eq
Trinomics,climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,1.025e-01,Euro,2018,kg CO2 eq
Trinomics,climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,1.936e-01,Euro,2018,kg CO2 eq
Trinomics,ozone depletion,min,"EF v3.1, ozone depletion, ozone depletion potential (ODP)",damage cost,2.28e+01,Euro,2018,kg CFC-11 eq
Trinomics,ozone depletion,central,"EF v3.1, ozone depletion, ozone depletion potential (ODP)",damage cost,3.14e+01,Euro,2018,kg CFC-11 eq
Trinomics,ozone depletion,max,"EF v3.1, ozone depletion, ozone depletion potential (ODP)",damage cost,1.272e+02,Euro,2018,kg CFC-11 eq
Trinomics,ionizing radiation,min,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,8e-04,Euro,2018,kBq U235 eq
Trinomics,ionizing radiation,central,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,1.2e-03,Euro,2018,kBq U235 eq
Trinomics,ionizing radiation,max,"EF v3.1, ionising radiation: human health, human exposure efficiency relative to u235",damage cost,4.61e-02,Euro,2018,kBq U235 eq
Trinomics,photochemical oxidant formation: human health,min,"EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase",damage cost,0.87,Euro,2018,kg NMVOC eq
Trinomics,photochemical oxidant formation: human health,central,"EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase",damage cost,1.19,Euro,2018,kg NMVOC eq
Trinomics,photochemical oxidant formation: human health,max,"EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase",damage cost,1.90,Euro,2018,kg NMVOC eq
Trinomics,particulate matter formation,min,"EF v3.1, particulate matter formation, impact on human health",damage cost,6.61974e+05,Euro,2018,disease incidence
Trinomics,particulate matter formation,central,"EF v3.1, particulate matter formation, impact on human health",damage cost,7.84126e+05,Euro,2018,disease incidence
Trinomics,particulate matter formation,max,"EF v3.1, particulate matter formation, impact on human health",damage cost,1.204600e+06,Euro,2018,disease incidence
Trinomics,human toxicity: carcinogenic,min,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,1.74324e+05,Euro,2018,CTUh
Trinomics,human toxicity: carcinogenic,central,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,9.02616e+05,Euro,2018,CTUh
Trinomics,human toxicity: carcinogenic,max,"EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)",damage cost,2.789181e+06,Euro,2018,CTUh
Trinomics,human toxicity: non-carcinogenic,min,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,3.0211e+04,Euro,2018,CTUh
Trinomics,human toxicity: non-carcinogenic,central,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,1.63447e+05,Euro,2018,CTUh
Trinomics,human toxicity: non-carcinogenic,max,"EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)",damage cost,7.55270e+05,Euro,2018,CTUh
Trinomics,acidification,min,"EF v3.1, acidification, accumulated exceedance (AE)",mixed approach,1.76e-01,Euro,2018,mol H+ eq
Trinomics,acidification,central,"EF v3.1, acidification, accumulated exceedance (AE)",mixed approach,3.44e-01,Euro,2018,mol H+ eq
Trinomics,acidification,max,"EF v3.1, acidification, accumulated exceedance (AE)",mixed approach,1.617,Euro,2018,mol H+
Trinomics,eutrophication: freshwater,min,"EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)",damage cost,2.6e-01,Euro,2018,kg P eq
Trinomics,eutrophication: freshwater,central,"EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)",damage cost,1.92,Euro,2018,kg P eq
Trinomics,eutrophication: freshwater,max,"EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)",damage cost,2.18,Euro,2018,kg P eq
Trinomics,eutrophication: marine,central,"EF v3.1, eutrophication: marine, fraction of nutrients reaching marine end compartment (N)",damage cost,3.21,Euro,2018,kg N eq
Trinomics,ecotoxicity: freshwater,min,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",damage cost,2.39e-24,Euro,2018,CTUe
Trinomics,ecotoxicity: freshwater,central,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",damage cost,3.82e-05,Euro,2018,CTUe
Trinomics,ecotoxicity: freshwater,max,"EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)",damage cost,1.88e-04,Euro,2018,CTUe
Trinomics,land use,min,"EF v3.1, land use, soil quality index",,8.7e-05,Euro,2018,dimensionless
Trinomics,land use,central,"EF v3.1, land use, soil quality index",,1.75e-04,Euro,2018,dimensionless
Trinomics,land use,max,"EF v3.1, land use, soil quality index",,3.49e-04,Euro,2018,dimensionless
Trinomics,water use,min,"EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)",market price,4.19e-03,Euro,2018,m3 world eq
Trinomics,water use,central,"EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)",market price,4.99e-03,Euro,2018,m3 world eq
Trinomics,water use,max,"EF v3.1, water use, user deprivation potential (deprivation-weighted water consumption)",market price,2.359e-01,Euro,2018,m3 world eq
Trinomics,fossil resources,min,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,0,Euro,2018,MJ
Trinomics,fossil resources,central,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,1.3e-03,Euro,2018,MJ
Trinomics,fossil resources,max,"EF v3.1, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,6.8e-03,Euro,2018,MJ
Trinomics,metal/mineral resources,min,"EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,0,Euro,2018,kh Sb eq
Trinomics,metal/mineral resources,central,"EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,1.64,Euro,2018,kh Sb eq
Trinomics,metal/mineral resources,max,"EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,6.53,Euro,2018,kh Sb eq
EPS2000,climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",mixed approach,1.42e-01,Euro,2019,kg CO2 eq
EPS2000,ozone depletion,central,"EF v3.1, ozone depletion, ozone depletion potential (ODP)",mixed approach,7.56e+02,Euro,2019,kg CFC-11 eq
EPS2000,photochemical oxidant formation: human health,central,"EF v3.1, photochemical oxidant formation: human health, tropospheric ozone concentration increase",mixed approach,1.84e+01,Euro,2019,kg NMVOC eq
EPS2000,metal/mineral resources,central,"EF v3.1, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",mixed approach,1.92e+04,Euro,2019,kh Sb eq
MMG2014 (Western Europe),climate change,min,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,2.5e-02,Euro,2012,kg CO2 eq
MMG2014 (Western Europe),climate change,central,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,5.0e-02,Euro,2012,kg CO2 eq
MMG2014 (Western Europe),climate change,max,"IPCC 2021, climate change, GWP 100a, incl. H and bio CO2",abatement cost,1.00e-01,Euro,2012,kg CO2 eq
MMG2014 (Western Europe),ozone depletion,min,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",damage cost,2.5e+01,Euro,2012,kg CFC-11 eq
MMG2014 (Western Europe),ozone depletion,central,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",damage cost,4.91e+01,Euro,2012,kg CFC-11 eq
MMG2014 (Western Europe),ozone depletion,max,"CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)",damage cost,1.00e+02,Euro,2012,kg CFC-11 eq
MMG2014 (Western Europe),acidification,min,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",damage cost,2.2e-01,Euro,2012,kg SO2 eq
MMG2014 (Western Europe),acidification,central,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",damage cost,4.3e-01,Euro,2012,kg SO2 eq
MMG2014 (Western Europe),acidification,max,"CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)",damage cost,8.8e-01,Euro,2012,kg SO2 eq
MMG2014 (Western Europe),eutrophication,min,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",literature review,6.6,Euro,2012,kg PO4 eq
MMG2014 (Western Europe),eutrophication,central,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",literature review,2.0e+01,Euro,2012,kg PO4 eq
MMG2014 (Western Europe),eutrophication,max,"CML v4.8 2016, eutrophication, eutrophication (fate not incl.)",literature review,6.0e+01,Euro,2012,kg PO4 eq
MMG2014 (Western Europe),photochemical oxidant formation,min,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",damage cost,0,Euro,2012,kg ethylene eq
MMG2014 (Western Europe),photochemical oxidant formation,central,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",damage cost,4.8e-01,Euro,2012,kg ethylene eq
MMG2014 (Western Europe),photochemical oxidant formation,max,"CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)",damage cost,6.6,Euro,2012,kg ethylene eq
MMG2014 (Western Europe),fossil resources,min,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,0,Euro,2012,MJ
MMG2014 (Western Europe),fossil resources,central,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,0,Euro,2012,MJ
MMG2014 (Western Europe),fossil resources,max,"CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels",market price,6.5e-03,Euro,2012,MJ
MMG2014 (Western Europe),metal/mineral resources,min,"CML v4.8 2016, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,0,Euro,2012,kg Sb eq
MMG2014 (Western Europe),metal/mineral resources,central,"CML v4.8 2016, material resources: metals/minerals, abiotic depletion potential (ADP): elements (ultimate reserves)",market price,1.56,Euro,2012,kg Sb eq
