fuel name,fuel unit,name,amount,unit,categories,type
"petrol, passenger car",MJ,"Methane, fossil",5.76e-06,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Methyl ethyl ketone,4.28e-09,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,"NMVOC, non-methane volatile organic compounds",2.18e-05,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Nickel II,1.64e-09,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Nitrogen oxides,1.04e-05,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,"PAH, polycyclic aromatic hydrocarbons",8.17e-10,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,"Particulate Matter, < 2.5 um",3.31e-07,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Pentane,2.78e-06,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Propane,1.79e-06,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Propene,4.71e-08,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Propylene oxide,3.27e-07,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Selenium IV,2.35e-10,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Styrene,8.64e-08,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Sulfur dioxide,4.69e-07,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Toluene,2.41e-06,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,Zinc II,2.35e-08,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,m-Xylene,1.04e-06,kilogram,air::urban air close to ground,biosphere
"petrol, passenger car",MJ,o-Xylene,2.5e-07,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Acetaldehyde,9.09e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Acrolein,3.52e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Ammonia,2.28e-07,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Arsenic ion,2.33e-12,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Benzaldehyde,2.72e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Benzene,1.39e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Butane,2.98e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Cadmium II,2.02e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"Carbon dioxide, fossil",0.069708852,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"Carbon monoxide, fossil",6.35e-05,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Chromium III,6.98e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Chromium VI,1.4e-12,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Copper ion,4.93e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Dinitrogen monoxide,3.8e-06,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Ethane,5.97e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Formaldehyde,1.67e-07,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Heptane,5.97e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Lead II,1.21e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Mercury II,1.23e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"Methane, fossil",4.89e-08,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"NMVOC, non-methane volatile organic compounds",1.62e-06,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Nickel II,2.05e-10,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Nitrogen oxides,3.19e-05,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"PAH, polycyclic aromatic hydrocarbons",1.82e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,"Particulate Matter, < 2.5 um",2.87e-07,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Pentane,1.19e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Propane,1.99e-09,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Selenium IV,2.33e-12,kilogram,air::urban air close to ground,biosphere
"coal FT diesel, HDV",MJ,Styrene,1.11e-08,kilogram,air::urban air close to ground,biosphere
