name,categories,characterization factor
Ruthenium,"('natural resource', 'in ground')",8617.0
Rhenium,"('natural resource', 'in ground')",5313.0
"Rhenium, in crude ore","('natural resource', 'in ground')",5313.0
Rubidium,"('natural resource', 'in ground')",nan
Selenium,"('natural resource', 'in ground')",94.15
Silicon,"('natural resource', 'in ground')",1.09
"Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore","('natural resource', 'in ground')",602.0
"Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore","('natural resource', 'in ground')",602.0
"Silver, Ag 1.8E-6%, in mixed ore","('natural resource', 'in ground')",602.0
"Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore","('natural resource', 'in ground')",602.0
"Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore","('natural resource', 'in ground')",602.0
"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In","('natural resource', 'in ground')",602.0
"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore","('natural resource', 'in ground')",602.0
Silver,"('natural resource', 'in ground')",602.0
"Silver, Ag 5.4E-3%, in mixed ore","('natural resource', 'in ground')",602.0
"Silver, 0.01% in crude ore","('natural resource', 'in ground')",602.0
"Silver, Ag 9.7E-4%, in mixed ore","('natural resource', 'in ground')",602.0
"Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore","('natural resource', 'in ground')",602.0
"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore","('natural resource', 'in ground')",602.0
Strontium,"('natural resource', 'in ground')",0.38
Tantalum,"('natural resource', 'in ground')",624.0
"Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore","('natural resource', 'in ground')",624.0
Tellurium,"('natural resource', 'in ground')",107.0
"Tellurium, 0.5ppm in sulfide, Te 0.2ppm, Cu and Ag, in crude ore","('natural resource', 'in ground')",107.0
Thallium,"('natural resource', 'in ground')",3045.0
Thorium,"('natural resource', 'in ground')",118.0
Tin,"('natural resource', 'in ground')",18.96
"Tin, 79% in cassiterite, 0.1% in crude ore","('natural resource', 'in ground')",18.96
Titanium,"('natural resource', 'in ground')",14.06
Tungsten,"('natural resource', 'in ground')",32.1
Vanadium,"('natural resource', 'in ground')",22.05
"Zinc, Zn 0.63%, in mixed ore","('natural resource', 'in ground')",1.5
Zinc,"('natural resource', 'in ground')",1.5
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In","('natural resource', 'in ground')",1.5
"Zinc, Zn 3.1%, in mixed ore","('natural resource', 'in ground')",1.5
Zirconium,"('natural resource', 'in ground')",0.62
"Zirconium, 50% in zircon, 0.39% in crude ore","('natural resource', 'in ground')",0.62
"Cerium, 24% in bastnasite, 2.4% in crude ore","('natural resource', 'in ground')",106.32
Cerium,"('natural resource', 'in ground')",106.32
Dysprosium,"('natural resource', 'in ground')",1183.76
Erbium,"('natural resource', 'in ground')",176.85
"Europium, 0.06% in bastnasite, 0.006% in crude ore","('natural resource', 'in ground')",2334.19
Europium,"('natural resource', 'in ground')",2334.19
Gadolinium,"('natural resource', 'in ground')",42.1
"Gadolinium, 0.15% in bastnasite, 0.015% in crude ore","('natural resource', 'in ground')",42.1
Lanthanum,"('natural resource', 'in ground')",107.0
"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore","('natural resource', 'in ground')",107.0
"Neodymium, 4% in bastnasite, 0.4% in crude ore","('natural resource', 'in ground')",200.0
Neodymium,"('natural resource', 'in ground')",200.0
"Praseodymium, 0.42% in bastnasite, 0.042% in crude ore","('natural resource', 'in ground')",104.0
Praseodymium,"('natural resource', 'in ground')",104.0
Samarium,"('natural resource', 'in ground')",111.0
"Samarium, 0.3% in bastnasite, 0.03% in crude ore","('natural resource', 'in ground')",111.0
Scandium,"('natural resource', 'in ground')",3276.0
Terbium,"('natural resource', 'in ground')",1707.0
Ytterbium,"('natural resource', 'in ground')",62.09
Yttrium,"('natural resource', 'in ground')",146.0
